"","date","variable","value"
"156",1993-01-18,"GASREGW",1.061
"157",1993-01-25,"GASREGW",1.055
"158",1993-02-01,"GASREGW",1.055
"159",1993-02-01,"MICH",3.2
"160",1993-02-08,"GASREGW",1.062
"161",1993-02-15,"GASREGW",1.053
"162",1993-02-22,"GASREGW",1.047
"163",1993-03-01,"GASREGW",1.042
"164",1993-03-01,"MICH",3.1
"165",1993-03-08,"GASREGW",1.048
"166",1993-03-15,"GASREGW",1.058
"167",1993-03-22,"GASREGW",1.056
"168",1993-03-29,"GASREGW",1.057
"169",1993-04-01,"MICH",3
"170",1993-04-05,"GASREGW",1.068
"171",1993-04-12,"GASREGW",1.079
"172",1993-04-19,"GASREGW",1.079
"173",1993-04-26,"GASREGW",1.086
"174",1993-05-01,"MICH",2.9
"175",1993-05-03,"GASREGW",1.086
"176",1993-05-10,"GASREGW",1.097
"177",1993-05-17,"GASREGW",1.106
"178",1993-05-24,"GASREGW",1.106
"179",1993-05-31,"GASREGW",1.107
"180",1993-06-01,"MICH",3.5
"181",1993-06-07,"GASREGW",1.104
"182",1993-06-14,"GASREGW",1.101
"183",1993-06-21,"GASREGW",1.095
"184",1993-06-28,"GASREGW",1.089
"185",1993-07-01,"MICH",3
"186",1993-07-05,"GASREGW",1.086
"187",1993-07-12,"GASREGW",1.081
"188",1993-07-19,"GASREGW",1.075
"189",1993-07-26,"GASREGW",1.069
"190",1993-08-01,"MICH",3.2
"191",1993-08-02,"GASREGW",1.062
"192",1993-08-09,"GASREGW",1.06
"193",1993-08-16,"GASREGW",1.059
"194",1993-08-23,"GASREGW",1.065
"195",1993-08-30,"GASREGW",1.062
"196",1993-09-01,"MICH",3
"197",1993-09-06,"GASREGW",1.055
"198",1993-09-13,"GASREGW",1.051
"199",1993-09-20,"GASREGW",1.045
"200",1993-09-27,"GASREGW",1.047
"201",1993-10-01,"MICH",3.3
"202",1993-10-04,"GASREGW",1.092
"203",1993-10-11,"GASREGW",1.09
"204",1993-10-18,"GASREGW",1.093
"205",1993-10-25,"GASREGW",1.092
"206",1993-11-01,"GASREGW",1.084
"207",1993-11-01,"MICH",2.8
"208",1993-11-08,"GASREGW",1.075
"209",1993-11-15,"GASREGW",1.064
"210",1993-11-22,"GASREGW",1.058
"211",1993-11-29,"GASREGW",1.051
"212",1993-12-01,"MICH",3
"213",1993-12-06,"GASREGW",1.036
"214",1993-12-13,"GASREGW",1.018
"215",1993-12-20,"GASREGW",1.003
"216",1993-12-27,"GASREGW",0.999
"217",1994-01-01,"MICH",2.8
"218",1994-01-03,"GASREGW",0.992
"219",1994-01-10,"GASREGW",0.995
"220",1994-01-17,"GASREGW",1.001
"221",1994-01-24,"GASREGW",0.999
"222",1994-01-31,"GASREGW",1.005
"223",1994-02-01,"MICH",2.8
"224",1994-02-07,"GASREGW",1.007
"225",1994-02-14,"GASREGW",1.016
"226",1994-02-21,"GASREGW",1.009
"227",1994-02-28,"GASREGW",1.004
"228",1994-03-01,"MICH",3
"229",1994-03-07,"GASREGW",1.007
"230",1994-03-14,"GASREGW",1.005
"231",1994-03-21,"GASREGW",1.007
"232",1994-03-28,"GASREGW",1.012
"233",1994-04-01,"MICH",3
"234",1994-04-04,"GASREGW",1.011
"235",1994-04-11,"GASREGW",1.028
"236",1994-04-18,"GASREGW",1.033
"237",1994-04-25,"GASREGW",1.037
"238",1994-05-01,"MICH",3.1
"239",1994-05-02,"GASREGW",1.04
"240",1994-05-09,"GASREGW",1.045
"241",1994-05-16,"GASREGW",1.046
"242",1994-05-23,"GASREGW",1.05
"243",1994-05-30,"GASREGW",1.056
"244",1994-06-01,"MICH",2.7
"245",1994-06-06,"GASREGW",1.065
"246",1994-06-13,"GASREGW",1.073
"247",1994-06-20,"GASREGW",1.079
"248",1994-06-27,"GASREGW",1.095
"249",1994-07-01,"MICH",2.9
"250",1994-07-04,"GASREGW",1.097
"251",1994-07-11,"GASREGW",1.103
"252",1994-07-18,"GASREGW",1.109
"253",1994-07-25,"GASREGW",1.114
"254",1994-08-01,"GASREGW",1.13
"255",1994-08-01,"MICH",3.1
"256",1994-08-08,"GASREGW",1.157
"257",1994-08-15,"GASREGW",1.161
"258",1994-08-22,"GASREGW",1.165
"259",1994-08-29,"GASREGW",1.161
"260",1994-09-01,"MICH",3.4
"261",1994-09-05,"GASREGW",1.156
"262",1994-09-12,"GASREGW",1.15
"263",1994-09-19,"GASREGW",1.14
"264",1994-09-26,"GASREGW",1.129
"265",1994-10-01,"MICH",3
"266",1994-10-03,"GASREGW",1.12
"267",1994-10-10,"GASREGW",1.114
"268",1994-10-17,"GASREGW",1.106
"269",1994-10-24,"GASREGW",1.107
"270",1994-10-31,"GASREGW",1.121
"271",1994-11-01,"MICH",3.2
"272",1994-11-07,"GASREGW",1.123
"273",1994-11-14,"GASREGW",1.122
"274",1994-11-21,"GASREGW",1.113
"275",1994-11-28,"GASREGW",1.105
"276",1994-12-01,"MICH",3
"277",1994-12-05,"GASREGW",1.103
"278",1994-12-12,"GASREGW",1.095
"279",1994-12-19,"GASREGW",1.087
"280",1994-12-26,"GASREGW",1.077
"281",1995-01-01,"MICH",3
"282",1995-01-02,"GASREGW",1.079
"283",1995-01-09,"GASREGW",1.086
"284",1995-01-16,"GASREGW",1.078
"285",1995-01-23,"GASREGW",1.083
"286",1995-01-30,"GASREGW",1.083
"287",1995-02-01,"MICH",3
"288",1995-02-06,"GASREGW",1.076
"289",1995-02-13,"GASREGW",1.074
"290",1995-02-20,"GASREGW",1.067
"291",1995-02-27,"GASREGW",1.073
"292",1995-03-01,"MICH",3.2
"293",1995-03-06,"GASREGW",1.076
"294",1995-03-13,"GASREGW",1.069
"295",1995-03-20,"GASREGW",1.068
"296",1995-03-27,"GASREGW",1.075
"297",1995-04-01,"MICH",3.3
"298",1995-04-03,"GASREGW",1.087
"299",1995-04-10,"GASREGW",1.103
"300",1995-04-17,"GASREGW",1.117
"301",1995-04-24,"GASREGW",1.138
"302",1995-05-01,"GASREGW",1.148
"303",1995-05-01,"MICH",3
"304",1995-05-08,"GASREGW",1.169
"305",1995-05-15,"GASREGW",1.179
"306",1995-05-22,"GASREGW",1.197
"307",1995-05-29,"GASREGW",1.199
"308",1995-06-01,"MICH",2.9
"309",1995-06-05,"GASREGW",1.199
"310",1995-06-12,"GASREGW",1.196
"311",1995-06-19,"GASREGW",1.189
"312",1995-06-26,"GASREGW",1.182
"313",1995-07-01,"MICH",2.9
"314",1995-07-03,"GASREGW",1.175
"315",1995-07-10,"GASREGW",1.165
"316",1995-07-17,"GASREGW",1.153
"317",1995-07-24,"GASREGW",1.144
"318",1995-07-31,"GASREGW",1.132
"319",1995-08-01,"MICH",2.9
"320",1995-08-07,"GASREGW",1.127
"321",1995-08-14,"GASREGW",1.125
"322",1995-08-21,"GASREGW",1.124
"323",1995-08-28,"GASREGW",1.117
"324",1995-09-01,"MICH",2.8
"325",1995-09-04,"GASREGW",1.113
"326",1995-09-11,"GASREGW",1.111
"327",1995-09-18,"GASREGW",1.11
"328",1995-09-25,"GASREGW",1.109
"329",1995-10-01,"MICH",2.9
"330",1995-10-02,"GASREGW",1.105
"331",1995-10-09,"GASREGW",1.097
"332",1995-10-16,"GASREGW",1.087
"333",1995-10-23,"GASREGW",1.079
"334",1995-10-30,"GASREGW",1.068
"335",1995-11-01,"MICH",2.8
"336",1995-11-06,"GASREGW",1.065
"337",1995-11-13,"GASREGW",1.063
"338",1995-11-20,"GASREGW",1.06
"339",1995-11-27,"GASREGW",1.061
"340",1995-12-01,"MICH",2.7
"341",1995-12-04,"GASREGW",1.062
"342",1995-12-11,"GASREGW",1.063
"343",1995-12-18,"GASREGW",1.078
"344",1995-12-25,"GASREGW",1.082
"345",1996-01-01,"GASREGW",1.083
"346",1996-01-01,"MICH",2.8
"347",1996-01-08,"GASREGW",1.093
"348",1996-01-15,"GASREGW",1.098
"349",1996-01-22,"GASREGW",1.091
"350",1996-01-29,"GASREGW",1.087
"351",1996-02-01,"MICH",2.8
"352",1996-02-05,"GASREGW",1.083
"353",1996-02-12,"GASREGW",1.08
"354",1996-02-19,"GASREGW",1.087
"355",1996-02-26,"GASREGW",1.107
"356",1996-03-01,"MICH",2.9
"357",1996-03-04,"GASREGW",1.124
"358",1996-03-11,"GASREGW",1.125
"359",1996-03-18,"GASREGW",1.135
"360",1996-03-25,"GASREGW",1.164
"361",1996-04-01,"GASREGW",1.178
"362",1996-04-01,"MICH",3
"363",1996-04-08,"GASREGW",1.204
"364",1996-04-15,"GASREGW",1.242
"365",1996-04-22,"GASREGW",1.256
"366",1996-04-29,"GASREGW",1.273
"367",1996-05-01,"MICH",3.1
"368",1996-05-06,"GASREGW",1.275
"369",1996-05-13,"GASREGW",1.277
"370",1996-05-20,"GASREGW",1.285
"371",1996-05-27,"GASREGW",1.275
"372",1996-06-01,"MICH",2.9
"373",1996-06-03,"GASREGW",1.269
"374",1996-06-10,"GASREGW",1.262
"375",1996-06-17,"GASREGW",1.258
"376",1996-06-24,"GASREGW",1.245
"377",1996-07-01,"GASREGW",1.234
"378",1996-07-01,"MICH",3
"379",1996-07-08,"GASREGW",1.231
"380",1996-07-15,"GASREGW",1.228
"381",1996-07-22,"GASREGW",1.227
"382",1996-07-29,"GASREGW",1.218
"383",1996-08-01,"MICH",3.1
"384",1996-08-05,"GASREGW",1.207
"385",1996-08-12,"GASREGW",1.203
"386",1996-08-19,"GASREGW",1.205
"387",1996-08-26,"GASREGW",1.209
"388",1996-09-01,"MICH",3.2
"389",1996-09-02,"GASREGW",1.197
"390",1996-09-09,"GASREGW",1.203
"391",1996-09-16,"GASREGW",1.206
"392",1996-09-23,"GASREGW",1.206
"393",1996-09-30,"GASREGW",1.2
"394",1996-10-01,"MICH",3
"395",1996-10-07,"GASREGW",1.194
"396",1996-10-14,"GASREGW",1.203
"397",1996-10-21,"GASREGW",1.204
"398",1996-10-28,"GASREGW",1.215
"399",1996-11-01,"MICH",3
"400",1996-11-04,"GASREGW",1.223
"401",1996-11-11,"GASREGW",1.226
"402",1996-11-18,"GASREGW",1.236
"403",1996-11-25,"GASREGW",1.244
"404",1996-12-01,"MICH",3
"405",1996-12-02,"GASREGW",1.241
"406",1996-12-09,"GASREGW",1.241
"407",1996-12-16,"GASREGW",1.236
"408",1996-12-23,"GASREGW",1.231
"409",1996-12-30,"GASREGW",1.227
"410",1997-01-01,"MICH",3
"411",1997-01-06,"GASREGW",1.225
"412",1997-01-13,"GASREGW",1.241
"413",1997-01-20,"GASREGW",1.241
"414",1997-01-27,"GASREGW",1.238
"415",1997-02-01,"MICH",3
"416",1997-02-03,"GASREGW",1.236
"417",1997-02-10,"GASREGW",1.234
"418",1997-02-17,"GASREGW",1.227
"419",1997-02-24,"GASREGW",1.223
"420",1997-03-01,"MICH",2.8
"421",1997-03-03,"GASREGW",1.215
"422",1997-03-10,"GASREGW",1.206
"423",1997-03-17,"GASREGW",1.2
"424",1997-03-24,"GASREGW",1.204
"425",1997-03-31,"GASREGW",1.2
"426",1997-04-01,"MICH",3
"427",1997-04-07,"GASREGW",1.203
"428",1997-04-14,"GASREGW",1.199
"429",1997-04-21,"GASREGW",1.199
"430",1997-04-28,"GASREGW",1.195
"431",1997-05-01,"MICH",2.9
"432",1997-05-05,"GASREGW",1.193
"433",1997-05-12,"GASREGW",1.193
"434",1997-05-19,"GASREGW",1.203
"435",1997-05-26,"GASREGW",1.212
"436",1997-06-01,"MICH",2.8
"437",1997-06-02,"GASREGW",1.215
"438",1997-06-09,"GASREGW",1.207
